name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total
"Mahua- The Art Gallery","art gallery","art_gallery | tourist_attraction | point_of_interest | establishment",4.1,"","bengaluru",13.005591,77.5816385,0,4.1,85
"Sri Shreyas Tour and Travels","tourist attraction","tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.953209,77.577773,0,4.8,67
"Peepletree Art Gallery","art gallery","art_gallery | tourist_attraction | museum | point_of_interest | establishment",4.3,"","bengaluru",13.0068362,77.58261720000002,0,4.3,67
"Coorg Travel Bag Center","tourist attraction","tourist_attraction | point_of_interest | store | establishment",4.9,"","bengaluru",12.9863765,77.5372912,0,4.9,56
"Tallest flag pole","tourist attraction","tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.960455,77.5297099,0,4.6,53
"215 feet India flag","tourist attraction","tourist_attraction | point_of_interest | establishment",4.7,"","bengaluru",12.9603253,77.5296992,0,4.7,51
"Shri Krishna Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.5,"","bengaluru",12.9752534,77.6221841,0,4.5,50
"Sri Adishakthi Chikkannamma Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9607108,77.570168,0,4.7,44
"Shri Venkataramana Swami Devasthana","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.8,"","bengaluru",12.9234469,77.6206783,0,4.8,42
"DR APJ ABDUL KALAM STATUE","tourist attraction","tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9649773,77.570112,0,4.4,44
"Falcon Tours & Travels","tourist attraction","tourist_attraction | travel_agency | point_of_interest | establishment",4.9,"","bengaluru",12.9731093,77.5464951,0,4.9,34
"BTM Lake Northern Most Point","tourist attraction","tourist_attraction | point_of_interest | establishment",3.8,"","bengaluru",12.9151641,77.6164774,0,3.8,44
"Statue Of Basavanna","tourist attraction","tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9843536,77.58854079999999,0,4.8,34
"REBOUND ARCADE","tourist attraction","tourist_attraction | point_of_interest | establishment",4.6,"","bengaluru",12.9402545,77.5251347,0,4.6,33
"ಕ್ರಾಂತಿ ವೀರ ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ವೃತ್ತ","tourist attraction","tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9799943,77.5711537,0,4.8,31
"Veerabhumi","tourist attraction","tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.9854373,77.5904747,0,4.5,33
"Kempegowda Tower","tourist attraction","tourist_attraction | point_of_interest | establishment",4,"","bengaluru",12.949338,77.5580263,0,4,36
"Chilli the Billi","tourist attraction","tourist_attraction | point_of_interest | establishment",5,"","bengaluru",12.974729,77.605948,0,5,26
"Eyelusion Bangalore","museum","museum | point_of_interest | establishment",4.8,"","bengaluru",13.0062264,77.5919552,0,4.8,9015
"Museum of Art & Photography (MAP)","museum","museum | point_of_interest | establishment",4.5,"","bengaluru",12.9746026,77.5967537,0,4.5,2394
"Cauvery Karnataka State Arts & Craft Emporium","store","store | museum | point_of_interest | establishment",4.2,"","bengaluru",12.9295553,77.5823999,0,4.2,1374
"Param Science Experience Centre (ParSEC Jayanagar)","museum","museum | point_of_interest | establishment",4.3,"","bengaluru",12.9274379,77.57924729999999,0,4.3,1197
"Vidhan sabha","museum","museum | point_of_interest | establishment",4.5,"","bengaluru",12.9796309,77.59068649999999,0,4.5,906
"Bangalore Creative Circus","museum","museum | cafe | restaurant | point_of_interest | store | food | establishment",4.4,"","bengaluru",13.0138897,77.5481114,0,4.4,554
"Bimba The Art Hut","museum","museum | point_of_interest | establishment",4.4,"","bengaluru",12.9381822,77.5717596,0,4.4,335
"Shades Creative Gallery","art gallery","art_gallery | museum | store | point_of_interest | establishment",4.9,"","bengaluru",12.9367782,77.61517359999999,0,4.9,326
"Rezwan Razack’s Museum of Indian Paper Money","museum","museum | point_of_interest | establishment",4.6,"","bengaluru",12.9711162,77.6142498,0,4.6,217
"MAP Conservation Centre","museum","museum | point_of_interest | establishment",4.5,"","bengaluru",12.9744087,77.5964503,0,4.5,196
"War Memorial Garden","museum","museum | point_of_interest | establishment",4.2,"","bengaluru",12.9856986,77.5913313,0,4.2,189
"NIMHANS Heritage Museum","museum","museum | point_of_interest | establishment",4.4,"","bengaluru",12.9398127,77.5950616,0,4.4,146
"DAN MURAL DESIGN| Murals | Wall Murals","art gallery","art_gallery | museum | point_of_interest | store | establishment",4.9,"","bengaluru",12.9402338,77.5340932,0,4.9,129
"Kaveri Auto Gas (Bangalore Cng Fitment Centre)","museum","museum | car_repair | point_of_interest | store | establishment",4.9,"","bengaluru",12.9593386,77.58793469999999,0,4.9,111
"Bosch India Experience Centre","museum","museum | point_of_interest | establishment",4.6,"","bengaluru",12.9460956,77.604113,0,4.6,109
"Head Office - Param Innovation","amusement park","amusement_park | museum | point_of_interest | establishment",4.7,"","bengaluru",12.9272011,77.5872366,0,4.7,97
"DeKulture Sadashiv store","jewelry store","jewelry_store | home_goods_store | museum | point_of_interest | store | establishment",5,"","bengaluru",13.0044888,77.5816771,0,5,89
"Vimor Museum of Living textiles","museum","museum | point_of_interest | establishment",4.6,"","bengaluru",12.9640776,77.61353679999999,0,4.6,80
"SANDESH - Museum of Communication","museum","museum | point_of_interest | establishment",4.7,"","bengaluru",12.9727432,77.6036058,0,4.7,76
"MKF Museum of Art","art gallery","art_gallery | museum | point_of_interest | establishment",4.3,"","bengaluru",12.9707254,77.5978267,0,4.3,69
"Mahaveer Marble ART Gallery | Marble Idols in Bangalore | God Idols in Bangalore","art gallery","art_gallery | museum | point_of_interest | store | establishment",4.3,"","bengaluru",12.9460308,77.6026397,0,4.3,68
"Pandey Moorti Bhandar (Pandey Marble Arts) - Best Marble Murti Statue Manufacturer","museum","museum | point_of_interest | store | establishment",4.6,"","bengaluru",13.0041399,77.5494302,0,4.6,57
"Science Park","museum","museum | point_of_interest | establishment",4.6,"","bengaluru",12.9847437,77.5900042,0,4.6,45
"Hobby Ghar","art gallery","art_gallery | museum | cafe | point_of_interest | store | food | establishment",4.9,"","bengaluru",12.9958851,77.5794774,0,4.9,42
"Dyu Art Cafe","art gallery","art_gallery | cafe | restaurant | food | point_of_interest | store | establishment",4.4,"","bengaluru",12.9374249,77.61765659999999,0,4.4,20752
"Chitra Santhe - (Bengaluru)","art gallery","art_gallery | point_of_interest | establishment",4.6,"","bengaluru",12.9887836,77.58110669999999,0,4.6,1369
"TRIPPINK Tattoo Studio","art gallery","art_gallery | point_of_interest | store | establishment",4.9,"","bengaluru",12.9338398,77.61950159999999,0,4.9,1339
"Oviyam Tanjore Art Gallery - Tanjore Painting in Bengaluru","art gallery","art_gallery | point_of_interest | establishment",5,"","bengaluru",12.9222947,77.59715469999999,0,5,796
"Reliance Fine Art","art gallery","art_gallery | point_of_interest | store | establishment",4.1,"","bengaluru",12.9817529,77.607878,0,4.1,777
"Marudhar Arts","art gallery","art_gallery | home_goods_store | store | point_of_interest | establishment",4.4,"","bengaluru",12.9755888,77.6050894,0,4.4,718
"Tarang Arts Jayanagar - Tanjore paintings and Handicrafts in Bangalore","art gallery","art_gallery | point_of_interest | establishment",4.5,"","bengaluru",12.9260005,77.5858568,0,4.5,478
"Tanjore Collective","art gallery","art_gallery | point_of_interest | establishment",4.9,"","bengaluru",12.9475177,77.5752898,0,4.9,400
