name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Chinese fishingnets,tourist attraction,4.2,0.9623744719994095,kochi,9.9546336,76.31383269999999,5,4.0,11,1,165,2.484907
Astrin view point,tourist attraction,5.0,0.7466532408656771,kochi,9.931897200000002,76.3232144,1,5.0,4,1,4,1.609438
Kerala Holidays Pvt. Ltd. केरल टूर पैकेज,tourist attraction,4.7,0.9560935887682395,kochi,9.9577232,76.31888219999999,5,5.0,1960,1,1218,7.58121
Kettezhuthum Kadavu,tourist attraction,4.5,0.8649534338631008,kochi,9.9319137,76.3242487,5,4.6,65,1,109,4.189655
Attupuram Kadavu,tourist attraction,3.3,0.726555785145617,kochi,9.930814300000002,76.3250011,1,1.0,3,1,3,1.386294
Bolgatty Palace and Island Resort,tourist attraction,4.3,0.6958681464450823,kochi,9.9842025,76.2672114,5,4.0,11715,1,384,9.368711
National Shrine Basilica of Our Lady of Ransom - Vallarpadam,tourist attraction,4.8,0.9674360816870891,kochi,9.9898879,76.25014159999999,5,5.0,14507,1,378,9.582456
"Venue of Kochi Muzhiris Bienville, DLF Aspinwall House",tourist attraction,4.5,0.6625989938357116,kochi,9.9681377,76.2469052,5,4.6,21,1,100,3.091042
Aspinwall House,tourist attraction,4.5,0.8536928727197023,kochi,9.9685798,76.24647039999999,5,4.6,8076,1,446,8.996776
Night kirkk spot,tourist attraction,0.0,0.5,kochi,9.9681737,76.2432091,0,0.0,0,0,0,0.0
Vasco da Gama Beach,tourist attraction,4.1,0.7464364515270925,kochi,9.967668299999998,76.2408083,5,4.0,168,1,282,5.129899
Chinese Fishing Nets,tourist attraction,4.3,0.8321615312968123,kochi,9.9683959,76.2422419,5,4.4,4084,1,501,8.315077
Kochi Tuk Tuk heritage Tour,tourist attraction,4.9,0.9149812171104192,kochi,9.968886200000002,76.2515615,5,5.0,21,1,123,3.091042
Vypin Walk Way,tourist attraction,4.2,0.8510105681382921,kochi,9.9727484,76.2441553,5,4.4,52,1,269,3.970292
Fort Kochi Beach View Point,tourist attraction,4.3,0.9193665099316877,kochi,9.9727194,76.2408347,5,4.4,302,1,410,5.713733
Church of Our Lady of Hope,tourist attraction,4.7,0.9368646414087852,kochi,9.9733207,76.2432809,5,4.6,265,1,553,5.583496
Vypin Ferry and Bus stand,tourist attraction,3.7,0.41506142140814617,kochi,9.9735383,76.2442482,5,3.6,15,1,102,2.772589
"Mini Beach, Fort Vypin",tourist attraction,4.3,0.8022264045931563,kochi,9.9728676,76.24033279999999,5,3.8,33,1,147,3.526361
Vypin dead end view point,tourist attraction,4.2,0.7098497306136294,kochi,9.9739128,76.2446076,5,4.6,23,1,109,3.178054
Kumaranandhayogam Sri Rajarajeswary Temple,hindu temple,4.8,0.8039854787627907,kochi,9.9759899,76.2419772,5,4.8,13,1,19,2.639057
St. Francis Xavier's Roman Catholic Church,tourist attraction,4.7,0.9584180545174311,kochi,9.9858648,76.2943904,5,4.8,916,1,451,6.821107
Sree Murugan Temple,hindu temple,4.8,0.8446373600348609,kochi,9.968908699999998,76.2821263,5,4.8,92,1,512,4.532599
Pollinator Garden at Subhash Chandra Bose Park,tourist attraction,4.6,0.7356381426183501,kochi,9.9709448,76.27954199999999,5,4.6,26,1,426,3.295837
Diamond View Point,tourist attraction,4.2,0.770287695829824,kochi,9.9744143,76.26746299999999,1,3.0,10,1,9,2.397895
Subhash Bose Park,park,4.5,0.8960027854883267,kochi,9.9715076,76.27941179999999,5,4.8,28987,1,524,10.274637
Marine Drive Station,tourist attraction,4.5,0.5786923967793203,kochi,9.9727164,76.2783729,5,4.0,53,1,197,3.988984
COCHIN MARINE DRIVE GATEWAY & WALKWAY,tourist attraction,4.5,0.8177409573940974,kochi,9.9728491,76.2786103,5,4.6,91,1,253,4.521789
Marine view point,tourist attraction,4.4,0.8899635694355167,kochi,9.9738531,76.2777761,5,4.0,1377,1,308,7.228388
Marine drive kochi,tourist attraction,4.4,0.8697197402619684,kochi,9.9752184,76.27728789999999,5,4.8,603,1,546,6.403574
Coconut Museum,museum,3.6,0.4288023426775498,kochi,9.9697801,76.28670489999999,5,3.8,66,1,281,4.204693
"Salem Mar Thoma Syrian Church, Ernakulam",tourist attraction,4.8,0.8763443705421967,kochi,9.976814,76.2834862,5,4.8,72,1,428,4.290459
Lazza iDrive,tourist attraction,3.8,0.2589824368628441,kochi,9.9763805,76.3180835,5,3.0,2686,1,1213,7.896181
Elamkulam Photo Point,tourist attraction,5.0,0.5523948421965494,kochi,9.966872000000002,76.30746649999999,1,5.0,1,1,19,0.693147
Vyttila Pink Trumpet Tree - Bloom 🌸,tourist attraction,3.7,0.4856999479126556,kochi,9.96764,76.3105011,1,5.0,3,1,19,1.386294
"Ernakulam, india",tourist attraction,0.0,0.5,kochi,9.9800857,76.2759066,0,0.0,0,0,0,0.0
MarineDriveBridge,tourist attraction,5.0,0.5,kochi,9.979817,76.2751229,0,5.0,1,0,0,0.693147
Mazhavil paalam,tourist attraction,4.1,0.7114699339402802,kochi,9.9798779,76.27504929999999,5,4.0,26,1,61,3.295837
Rainbow Hanging Bridge,tourist attraction,4.2,0.9396732525570247,kochi,9.9799094,76.2750369,5,4.8,6630,1,241,8.799511
Artville Gallery,museum,3.8,0.5,kochi,9.9621607,76.25741880000001,0,3.8,4,0,0,1.609438
Cochin Port Maritime Heritage Museum,museum,4.2,0.6264506252007345,kochi,9.9689688,76.2610116,5,4.4,198,1,202,5.293305
Kerala Folklore Museum,museum,4.3,0.8367176300566807,kochi,9.9329616,76.2990524,5,4.6,11991,1,506,9.391995
The Grey Book Museum & Archives,museum,4.7,0.903121349302824,kochi,9.9664212,76.2416387,5,5.0,12,1,671,2.564949
Cochin harbour terminus pf 1,museum,0.0,0.5,kochi,9.9535043,76.269713,0,0.0,0,0,0,0.0
SPR Perfume Museum,clothing store,4.9,0.7839780376290253,kochi,9.955560899999998,76.2600983,5,4.6,275,1,233,5.620401
Paradesi Jewish Museum,museum,4.8,0.6939456245859715,kochi,9.9574732,76.2594268,3,5.0,4,1,203,1.609438
pancheera poul road,museum,0.0,0.5,kochi,9.957864499999998,76.25553649999999,0,0.0,0,0,0,0.0
T D COMMUNITY CULTURAL MUSEUM,museum,4.0,0.3744062215038382,kochi,9.9568342,76.2519005,1,1.0,9,1,23,2.302585
Wellingdon Island Warehouse,museum,4.4,0.9015713233952024,kochi,9.9650634,76.26310269999999,5,4.6,17,1,59,2.890372
BMS Warehouse,museum,5.0,0.5,kochi,9.9654963,76.25464439999999,0,5.0,1,0,0,0.693147
Egypt Crafts,museum,5.0,0.7805008286461087,kochi,9.9685641,76.2515275,5,5.0,98,1,132,4.59512
Kerala Village Emporium,jewelry store,3.6,0.5403159254661263,kochi,9.9682954,76.2477931,5,3.4,19,1,687,2.995732
Street Art Magic Kochi,museum,0.0,0.5,kochi,9.9653449,76.2398406,0,0.0,0,0,0,0.0
