name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Shri Dattatreya Devasthana (Hosakerehalli),hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.5,,bengaluru,12.9248842,77.5401899,0,4.5,1112,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
CSI Holy Trinity Church,church,church | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9721431,77.6205788,0,4.6,1020,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sri Ayyappa Swamy Temple Kalasipalya,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,12.959833,77.577503,0,4.8,968,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Jayanagara Park,park,park | tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.9338816,77.5872718,0,4.2,897,"{""nature"": 0.9}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
View point,tourist attraction,tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.9385911,77.5375304,0,4.3,880,{},,0,[],{},,0,[],,0,[],,0,[]
Shri Gundlu Muneshwara Swamy Devasthana,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,12.9361927,77.6068014,0,4.8,828,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Sri Pralayakaalada Veerabhadraswami Gudi,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9479404,77.5581468,0,4.7,822,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Shri Rama Devara Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9378201,77.5709804,0,4.6,818,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Department of Archaeology and Museums,museum,museum | tourist_attraction | point_of_interest | establishment,4.3,,bengaluru,12.97465,77.5958911,0,4.3,801,"{""culture"": 0.75, ""history"": 1.0, ""art"": 1.0}",art | culture | history,3,"[""art"", ""culture"", ""history""]","{""art experience"": 0.67, ""museum visit"": 0.67}",art experience | museum visit,2,"[""art experience"", ""museum visit""]",art | culture | history,3,"[""art"", ""culture"", ""history""]",art experience | museum visit,2,"[""art experience"", ""museum visit""]"
Bal Bhavan society,tourist attraction,tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.9768883,77.5987379,0,4.2,781,{},,0,[],{},,0,[],,0,[],,0,[]
