name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Flicker Colors - Resin Art Studio in Bangalore | Varmala Preservation | Flower Preservation | Resin wall Clock,art gallery,4.8,0.5,bengaluru,12.9684919,77.5189908,0,4.8,272,0,0,5.609472
1 ShanthiRoad Studio Gallery,art gallery,4.4,0.5,bengaluru,12.9606478,77.5949345,0,4.4,273,0,0,5.613128
Siddeshwara Arts & Frames,art gallery,4.3,0.5,bengaluru,12.931137,77.5853205,0,4.3,262,0,0,5.572154
Fidelitus Gallery,art gallery,4.8,0.5,bengaluru,12.9205361,77.5725887,0,4.8,254,0,0,5.541264
LAITON CRAFTS,art gallery,4.9,0.5,bengaluru,12.9370114,77.5728744,0,4.9,224,0,0,5.4161
VinShain Art Studio,art gallery,4.8,0.5,bengaluru,12.9941126,77.5387291,0,4.8,218,0,0,5.389072
Van Gogh's Arts & Frames,art gallery,4.6,0.5,bengaluru,12.972625,77.6209697,0,4.6,207,0,0,5.337538
balaji Tanjore Art Gallery ( Bengaluru Branch ),art gallery,4.7,0.5,bengaluru,12.9218186,77.5860641,0,4.7,204,0,0,5.32301
Sri Chamarajendra Park,park,4.4,0.5,bengaluru,12.9752487,77.5928871,0,4.4,142651,0,0,11.868163
Fun World Amusement Park,amusement park,4.1,0.5,bengaluru,13.0069448,77.5920976,0,4.1,13015,0,0,9.473935
Coles Park,park,4.2,0.5,bengaluru,12.9945379,77.60880379999999,0,4.2,6031,0,0,8.704834
‌Jinke Park,park,4.2,0.5,bengaluru,12.9516245,77.55728479999999,0,4.2,5176,0,0,8.551981
Nandini Layout Park,park,4.4,0.5,bengaluru,13.0132452,77.5352504,0,4.4,4814,0,0,8.479491
Avalahalli BDA Park,park,4.3,0.5,bengaluru,12.9428725,77.5428541,0,4.3,4793,0,0,8.47512
Mariyappanapalya Park,park,4.3,0.5,bengaluru,12.9973544,77.55643239999999,0,4.3,4296,0,0,8.365672
Madhavan Park,park,4.2,0.5,bengaluru,12.9362236,77.5857619,0,4.2,4219,0,0,8.34759
Ramakrishna Udyanavana (Vivekananda Udyanavana),park,4.3,0.5,bengaluru,12.9395828,77.547343,0,4.3,3982,0,0,8.289791
Makkala Koota Park,park,4.2,0.5,bengaluru,12.9577166,77.5725009,0,4.2,3696,0,0,8.215277
'Mysuru Mallige' K.S Narasimhaswamy Park,park,4.4,0.5,bengaluru,12.9295563,77.5480595,0,4.4,3394,0,0,8.130059
Netaji Park,park,4.2,0.5,bengaluru,12.9914619,77.5430334,0,4.2,3085,0,0,8.034631
Manjunathanagara Park,park,4.3,0.5,bengaluru,12.9930206,77.5500608,0,4.3,2893,0,0,7.970395
Kurpad Gundappa Shamanna Park,park,4.3,0.5,bengaluru,12.9378,77.57159999999999,0,4.3,2576,0,0,7.854381
Halasuru Kere,park,4.3,0.5,bengaluru,12.9864432,77.6196648,0,4.3,2426,0,0,7.794411
Koramangala Post Office Ground,park,4.2,0.5,bengaluru,12.9276224,77.6273006,0,4.2,2380,0,0,7.775276
Gandhi Ground,park,4.1,0.5,bengaluru,12.9714488,77.54290329999999,0,4.1,2221,0,0,7.706163
Shrikanteshwara Park,park,4.3,0.5,bengaluru,12.9267266,77.5542926,0,4.3,2170,0,0,7.682943
Vishweshvarayya (Kothi) Park,park,4.3,0.5,bengaluru,12.9901026,77.53626560000001,0,4.3,2073,0,0,7.637234
Richmond Town Park,park,4.2,0.5,bengaluru,12.9635188,77.6016887,0,4.2,2060,0,0,7.630947
Shri Mahadeva Mailara Park,park,3.8,0.5,bengaluru,12.9973214,77.5525402,0,3.8,1899,0,0,7.549609
Dhanvanthari Park,park,4.4,0.5,bengaluru,12.9087939,77.5878109,0,4.4,1724,0,0,7.452982
Devaiah Park,park,4.0,0.5,bengaluru,12.9974407,77.56399929999999,0,4.0,1516,0,0,7.32449
Pushpanjali Park,park,4.3,0.5,bengaluru,12.9345258,77.54313309999999,0,4.3,1490,0,0,7.307202
Subhash Chandra Bose Park,park,4.4,0.5,bengaluru,12.9751766,77.5431045,0,4.4,1330,0,0,7.193686
Dr.Rajkumar Park,park,4.2,0.5,bengaluru,12.951618,77.5572679,0,4.2,1271,0,0,7.148346
Sri Kalakesari Udayakumara Udyana,park,4.3,0.5,bengaluru,13.0026562,77.55182140000001,0,4.3,1265,0,0,7.143618
